sl,name,address,latlon,phone
1,Addison,"1540 W Fullerton Ave. Addison, IL 60101","41.919742076504896, -88.02690348755814",630-543-5700
2,Albany,"6 Burdick Dr., Albany, NY 12205","42.68296011056086, -73.77543359551944",518-438-1675
3,Atlanta,"995 LaGrange Blvd., Atlanta, GA 30336","33.7260512408868, -84.59075851679462",404-574-6550
4,Austin,"9324 Neils Thompson Dr., Austin, TX 78758","30.381792978347782, -97.73394593097589",512-982-3373
5,Birmingham,"201 39th St. N, Birmingham, AL 35222","33.528537875495786, -86.77863486015944",205-591-9680
6,Capital Heights,"8601-B Ritchie Dr., Capitol Heights, MD 20743","38.87402254459055, -76.85644598722357",301-736-4900
7,Cartersville,"30 A Barry Dr. NE, White, GA 30184","34.26948051505018, -84.7557128656886",470-888-2473
8,Charleston,,,
9,Charlotte,"5517 David Cox Rd., Charlotte, NC 28269","35.33814014640606, -80.82229613457694",704-376-6679
10,Clearwater,"5100 140th Ave North, Clearwater FL 33760","27.89835503704985, -82.70337324851992",727-530-5435
11,Dallas,"2007 Royal Ln. Ste 160, Dallas, TX 75229","32.89745460949628, -96.91000935428744",972-556-2564
12,Denver,"4770 Forest St., Unit M, Denver, CO 80216","39.78342860652876, -104.92446647665575",303-227-3392
13,Duluth,"2222 Northmont Pkwy., Duluth, GA 30096","33.974961899393406, -84.11303343989422",470-610-4540
14,Ft. Meyers,"2081 Beacon Manor Dr., Ft Myers, FL 33907","26.573797324690695, -81.86791116601654",239-275-1600
15,Greenville,"1136 White Horse Rd., Greenville, SC 29605","34.78456039632743, -82.4040104700854",864-686-7272
16,Haltom City,"1651 Hickory Dr Ste A Haltom City, TX 76117","32.78269471365511, -97.26741262571664",TBD
17,Harahan,"5600 Jefferson Hwy. Harahan, LA 70123","29.942396532671108, -90.183816749687",504-293-8704
18,Harrisburg,TBD,,TBD
19,Houston,"1531 Greengrass Dr., Houston, TX 77008","29.79632851064891, -95.44350099373852",281-800-4350
20,Huntsville,"3608 Jack Kendall Way, Huntsville, AL 35806","34.76240996849115, -86.69124870677688",256-361-9914
21,Indianapolis,"2402 Shadeland Ave. Ste B., Indianapolis, IN 46219","39.80260292206871, -86.04961142599636",317-822-8291
22,Jacksonville,"7380 Philips Hwy., Bldg 200 Ste 204, Jacksonville, FL 32256","30.23691877445975, -81.59699446911286",904-544-4391
23,Kansas City,"218 E 11th Ave., N Kansas City, MO 64116","39.12932968587937, -94.57827416343724",816-474-1311
24,Knoxville,"3008 Industrial Pkwy W., Knoxville, TN 37921","35.97859914574966, -83.96977191983197",865-934-2667
25,Little Rock,"1805 E 5th St. N., Little Rock, AR 72114","35.97859860311434, -83.96977259038422",501-955-2800
26,Mobile,3450 Armour Ave. Mobile AL 36617,"30.715062971907475, -88.11962194410148",
27,Naperville,"1650 Quincy Ave., Naperville, IL 60540","41.77424788917576, -88.18873208099886",331-814-4150
28,Nashville,"3021 Owen Dr., Antioch, TN 37013","36.01790009381437, -86.62213339877357",615-471-9050
29,Orlando,"507 W. Grant St., Orlando, FL 32805","28.51669645640163, -81.3850563007598",407-608-7800
30,Raleigh,"1201 United Dr., Raleigh, NC 27603","35.70607616511761, -78.66232573519122",919-779-7384
31,San Antonio,"4511 Macro, San Antonio, TX 78218","29.46691678158454, -98.40303382193412",210-682-9640
32,St. Louis,"2045 Hitzert Ct., Fenton, MO 63026","38.5458180230394, -90.44828228883428",314-665-2513
33,Tampa,"1337 Massaro Blvd., Tampa, FL 33619","27.95828387725509, -82.35870884687787",813-384-8797
